,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
128,114088,484223,949341.0,88277.0,afval_cluster,114088.185|484223.474,"['Rest:2', 'Papier:1', 'Plastic:1']","['Rest:10 m3', 'Papier:4 m3', 'Plastic:4 m3']",Zuiderakerweg,F84c,F84,F,1,1,2,0,0,4,True
129,114088,485859,754795.0,100764.0,afval_cluster,114088.478|485859.280,"['Rest:2', 'Papier:1']","['Rest:10 m3', 'Papier:5 m3']",De Duikerstraat,F83a,F83,F,2,0,1,0,0,3,True
130,114090,485650,706576.0,721.0,afval_cluster,114090.205|485649.616,"['Rest:1', 'Papier:1']","['Rest:5 m3', 'Papier:5 m3']",Schuitenhuisstraat,F83a,F83,F,1,1,0,0,0,2,True
131,114094,485762,584306.0,87941.0,afval_cluster,114093.954|485762.041,['Brood:2'],['Brood:0 m3'],Waterschapstraat,F83a,F83,F,0,0,0,0,0,0,True
132,114096,485402,713598.0,120272.0,afval_cluster,114096.236|485401.928,"['Rest:2', 'Papier:1']","['Rest:10 m3', 'Papier:3 m3']",Meentstraat,F83a,F83,F,2,0,1,0,0,3,True
133,114101,485142,573196.0,110342.0,afval_cluster,114100.806|485141.833,['Rest:2'],['Rest:8 m3'],Rudi Bloemgartensingel,F84a,F84,F,2,0,0,0,0,2,True
134,114103,485017,755663.0,97331.0,afval_cluster,114103.111|485016.581,['Rest:2'],['Rest:8 m3'],Anton Hölzelsingel,F84a,F84,F,2,0,0,0,0,2,True
135,114111,485212,551996.0,745.0,afval_cluster,114111.138|485212.120,['Rest:2'],['Rest:8 m3'],Korte Water,F83a,F83,F,2,0,0,0,0,2,True
136,114114,484480,927541.0,150425.0,afval_cluster,114114.011|484480.206,['Rest:2'],['Rest:8 m3'],Pond Sterlinglaan,F84c,F84,F,2,0,0,0,0,2,True
137,114116,484819,931214.0,145658.0,afval_cluster,114116.453|484818.811,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:3 m3']",Pieter Calandlaan,F84c,F84,F,2,0,0,0,0,2,True
138,114122,484930,896984.0,27021.0,afval_cluster,114122.349|484929.720,['Rest:2'],['Rest:8 m3'],Iwan Kantemanplein,F84c,F84,F,2,0,0,0,0,2,True
139,114126,485333,831575.0,644.0,afval_cluster,114125.669|485332.894,['Rest:2'],['Rest:8 m3'],Middelveldstraat,F83a,F83,F,2,0,0,0,0,2,True
140,114132,484671,637671.0,54648.0,afval_cluster,114131.792|484670.724,['Rest:2'],['Rest:8 m3'],Valutaboulevard,F84c,F84,F,1,0,0,1,0,2,True
141,114141,484521,883930.0,20437.0,afval_cluster,114140.934|484520.874,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:3 m3']",Pond Sterlinglaan,F84c,F84,F,0,0,1,1,0,2,True
