,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
46,123607,485854,875280.0,71003.0,afval_cluster,123607.232|485853.758,['Rest:1'],['Rest:5 m3'],Domselaerstraat,M29b,M29,M,1,0,0,0,0,1,True,0.0
47,123612,483492,836478.0,53177.0,afval_cluster,123612.046|483492.051,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1', 'Textiel:1']","['Rest:3 m3', 'Glas:4 m3', 'Papier:3 m3', 'Plastic:4 m3', 'Textiel:3 m3']",H.J.E. Wenckebachweg,M58b,M58,M,1,1,1,1,1,5,True,0.0
48,123655,487622,704165.0,53714.0,afval_cluster,123654.825|487622.221,"['Glas:1', 'Papier:1']","['Glas:4.69 m3', 'Papier:4.69 m3']",Piet Heinkade,M33a,M33,M,0,0,1,1,0,2,True,0.0
49,124150,484799,902514.0,30558.0,afval_cluster,124149.968|484798.831,['Rest:1'],['Rest:5 m3'],Hugo de Vrieslaan,M55h,M55,M,1,0,0,0,0,1,True,0.0
50,124184,484474,919875.0,162238.0,afval_cluster,124184.286|484473.842,['Rest:1'],['Rest:4.69 m3'],Van 't Hofflaan,M55h,M55,M,1,0,0,0,0,1,True,0.0
51,124203,486296,652016.0,104176.0,afval_cluster,124202.888|486296.368,"['Glas:1', 'Papier:1', 'Plastic:1']","['Glas:4.69 m3', 'Papier:4.69 m3', 'Plastic:4.69 m3']",Javastraat,M31b,M31,M,0,1,1,1,0,3,True,0.0
52,124282,485713,710248.0,155179.0,afval_cluster,124282.280|485713.202,['Rest:2'],['Rest:9.38 m3'],Sibogastraat,M31c,M31,M,2,0,0,0,0,2,True,0.0
53,124423,484668,916890.0,82536.0,afval_cluster,124423.305|484667.561,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:5 m3']",Middenweg,M56c,M56,M,1,0,1,1,0,3,True,0.0
54,124462,486864,556717.0,133557.0,afval_cluster,124462.201|486863.971,['Textiel:1'],['Textiel:3 m3'],Cruquiusweg,M33h,M33,M,0,0,0,0,1,1,True,0.0
55,124514,486196,833283.0,13834.0,afval_cluster,124513.609|486196.010,['Rest:6'],['Rest:6.6 m3'],Molukkenstraat,M32a,M32,M,6,0,0,0,0,6,True,0.0
